district_name,year,population,housing,housing_per_1000,housing_yoy_pct,population_yoy_pct,delta_growth
Aveiro,1940,429870,124954,290.67857724428313,,,
Aveiro,1950,477191,139290,291.8956979490393,11.473022072122552,11.008211784958233,0.4648102871643189
Aveiro,1960,522227,164040,314.11627510641927,17.768684040491056,9.437730384688736,8.33095365580232
Aveiro,1981,619966,168148,271.2213250404054,2.5042672518897917,18.71580749367612,-16.211540241786324
Aveiro,1991,654265,200569,306.55621193247384,19.281228441610956,5.532400163879947,13.748828277731006
Aveiro,2001,715142,226306,316.4490408897813,12.831992979971972,9.30463955736589,3.527353422606083
Aveiro,2011,714896,254407,355.8657483046485,12.417258048836532,-0.0343987627631992,12.451656811599731
Aveiro,2021,708902,257230,362.8569252167436,1.1096392787934397,-0.8384436337593115,1.948082912552751
Açores,1940,286885,76292,265.9323422277219,,,
Açores,1950,317409,83389,262.7178183353339,9.302417029308453,10.639803405545775,-1.337386376237326
Açores,1960,327806,100899,307.80095544315844,20.997973353799672,3.27558449823413,17.72238885556554
Açores,1981,249101,73145,293.635914749439,-27.50671463542751,-24.00962764561967,-3.4970869898078405
Açores,1991,237795,81004,340.64635505372274,10.744411784810982,-4.538721241584742,15.283133026395724
Açores,2001,242544,87585,361.10973679002575,8.124290158510682,1.997098341008008,6.127191817502674
Açores,2011,247095,98818,399.9190594710537,12.825255466118634,1.8763605778745247,10.948894888244109
Açores,2021,238794,100478,420.77271623240114,1.6798558966989896,-3.359436653918535,5.039292550617525
Beja,1940,275441,76862,279.05068599082927,,,
Beja,1950,286803,88856,309.8154482345024,15.604590044495325,4.125021329431711,11.479568715063614
Beja,1960,268911,96903,360.35342548278055,9.056225803547305,-6.238428468321466,15.294654271868769
Beja,1981,184252,75785,411.31168182706296,-21.792926947566126,-31.482163243601047,9.68923629603492
Beja,1991,169438,79905,471.5884276254441,5.436432011611792,-8.040075548705039,13.47650756031683
Beja,2001,160803,87204,542.303315236656,9.134597334334526,-5.096259398718117,14.230856733052644
Beja,2011,152170,93350,613.458631793389,7.047841842117331,-5.368680932569669,12.416522774687
Beja,2021,146353,94143,643.2597896865797,0.8494911622924484,-3.822698297956229,4.672189460248677
Braga,1940,482914,113354,234.72916502731337,,,
Braga,1950,541377,132868,245.42601551229552,17.21509607071652,12.106296359186096,5.108799711530423
Braga,1960,593587,153336,258.32102118139375,15.404762621549215,9.643926505928402,5.760836115620815
Braga,1981,709763,163552,230.431848377557,6.662492826211719,19.571857200376684,-12.909364374164966
Braga,1991,748192,199562,266.7256533082417,22.01746233613775,5.414342534057148,16.603119802080602
Braga,2001,835186,232010,277.79440747330534,16.259608542708538,11.627229374278269,4.632379168430269
Braga,2011,848861,268462,316.2614373849193,15.711391750355585,1.637359821644524,14.074031928711062
Braga,2021,850128,278807,327.9588485498655,3.853431770604399,0.1492588303620978,3.7041729402423007
Bragança,1940,213233,74046,347.25394287000603,,,
